"rank";"lex";"num";"ipm"
"1";"и";"14991085";"38490.83822466883"
"2";"в";"11792123";"30277.241355005084"
"3";"не";"6795255";"17447.373615743752"
"4";"на";"5973869";"15338.397804719547"
"5";"я";"5166753";"13266.061387139243"
"6";"он";"5154721";"13235.168241945335"
"7";"быть";"5025498";"12903.377608518445"
"8";"что";"4836838";"12418.977610822078"
"9";"с";"4409679";"11322.21190205508"
"10";"а";"2905814";"7460.9153763705435"
"11";"как";"2611425";"6705.04751396285"
"12";"то";"2342307";"6014.065013273513"
"13";"она";"2329404";"5980.935504261129"
"14";"к";"2285226";"5867.50487191601"
"15";"этот";"2194314";"5634.080867937574"
"16";"по";"2168691";"5568.291717397056"
"17";"это";"2167918";"5566.306976602933"
"18";"но";"2140155";"5495.023200836771"
"19";"они";"1993098";"5117.442312141581"
"20";"мы";"1825286";"4686.571261503277"
"21";"свой";"1794954";"4608.691367884459"
"22";"который";"1782230";"4576.021456028801"
"23";"из";"1739948";"4467.458958930329"
"24";"весь";"1692046";"4344.466651659835"
"25";"у";"1628916";"4182.375207503303"
"26";"за";"1546619";"3971.070921430908"
"27";"от";"1531804";"3933.03219586178"
"28";"так";"1415520";"3634.463504394993"
"29";"о";"1397013";"3586.9452665206863"
"30";"же";"1348070";"3461.280106511924"
"31";"вы";"1213865";"3116.697780153179"
"32";"для";"1194439";"3066.8199345301027"
"33";"мочь";"1184482";"3041.254521739566"
"34";"ты";"1168645";"3000.5917274879102"
"35";"один";"1157436";"2971.8117021821827"
"36";"его";"1156028";"2968.1965468935337"
"37";"тот";"1140702";"2928.8457869831423"
"38";"год";"1136318";"2917.5895080162127"
"39";"человек";"1127329";"2894.509514486622"
"40";"всё";"1092626";"2805.4067204653297"
"41";"только";"1046814";"2687.780659326424"
"42";"такой";"1003562";"2576.727607803244"
"43";"бы";"984144";"2526.8703028352165"
"44";"себя";"972263";"2496.364862505361"
"45";"сказать";"956984";"2457.134778943383"
"46";"еще";"935743";"2402.596772206033"
"47";"или";"851032";"2185.094343472561"
"48";"мой";"847833";"2176.880649034786"
